,question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
1250,hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/16/2019 16:56,11/26/2019 17:32,10,Angeline Ng Li Ling,General Information about URA
1251,Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/16/2019 22:07,11/26/2019 17:32,10,Angeline Ng Li Ling,General Information about URA
1252,after I click on apply how do I get to the next step It just sends me to a map,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/17/2019 10:44,11/26/2019 17:31,9,Angeline Ng Li Ling,General Info on URA SPACE map service
1253,Can i check the latest parking summons online,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/17/2019 12:11,11/26/2019 17:31,9,Angeline Ng Li Ling,General Information about URA
1254,How about summon issued on 16 November 2019,(APP) How do I submit an appeal for my parking offence or check its appeal status?,,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/17/2019 12:13,11/26/2019 17:31,9,Angeline Ng Li Ling,(Payment) When do I need to make payment for the notice of parking offence?
1255,appeal of fines,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/18/2019 1:05,11/26/2019 17:30,8,Angeline Ng Li Ling,Car Parks-Parking Offences
1256,hello,General Information about URA,Top Match,General Information about URA,,No Feedback,11/18/2019 3:50,11/26/2019 17:30,8,Angeline Ng Li Ling,General Information about URA
1257,hi how do i check the details of a parking offence,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,Incorrect,11/18/2019 7:17,11/26/2019 17:30,8,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1258,HOW DO I PRINT RECEIPT FOR CARPARK PAYMENT,Car Parks-Season Parking,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,11/18/2019 9:57,11/26/2019 17:30,8,Angeline Ng Li Ling,Car Parks-Season Parking
1259,CHECK APPLICATION TRANSFER SEASON OARJUBG,Car Parks-Season Parking,Top Match,Car Parks-Season Parking-Transfer,,No Feedback,11/18/2019 11:34,11/26/2019 17:29,8,Angeline Ng Li Ling,Car Parks-Season Parking
1260,CHECK APPLICATION TRANSFER SEASON PARKINH,Car Parks-Season Parking,Top Match,Car Parks-Season Parking-Transfer,,No Feedback,11/18/2019 11:34,11/26/2019 17:29,8,Angeline Ng Li Ling,Car Parks-Season Parking
1261,HI,General Information about URA,Top Match,General Information about URA,,No Feedback,11/18/2019 13:28,11/26/2019 17:28,8,Angeline Ng Li Ling,General Information about URA
1262,checking of season parking application status,Car Parks-Season Parking-Apply,Top Match,(SPT)How do I check the application status of my Season Parking Ticket (SPT) application?,Car Parks,No Feedback,11/18/2019 11:35,11/26/2019 17:28,8,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1263,My car will expire in January 2020 Thus i would like to put my seasons parking on hold,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking,,No Feedback,11/18/2019 13:33,11/26/2019 17:27,8,Angeline Ng Li Ling,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?
1264,How do I furnish the drivers particulars,(FurnishDriver) How do I furnish the driver's particulars?,Top Match,(FurnishDriver) How do I furnish the driver's particulars?,Car Parks,No Feedback,11/18/2019 13:51,11/26/2019 17:27,8,Angeline Ng Li Ling,Car Parks-Parking Offences-Check outstanding
1265,hello,General Information about URA,Top Match,General Information about URA,,No Feedback,11/18/2019 14:28,11/26/2019 17:27,8,Angeline Ng Li Ling,General Information about URA
1266,How much is season parking at the ura center,Car Parks-Season Parking,Top Match,Car Parks-Season Parking,,No Feedback,11/18/2019 15:09,11/26/2019 17:26,8,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1267,hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/18/2019 17:48,11/26/2019 17:26,8,Angeline Ng Li Ling,General Information about URA
1268,What if I lost my ticket,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/18/2019 21:45,11/26/2019 17:26,8,Angeline Ng Li Ling,(SPT) What are the eligibility criteria to transfer a Season Parking Ticket (SPT) to another vehicle?
1269,i receive a notice or warrant of arrest how do i make payment,(WA) I missed court and was issued a Warrant of Arrest (WA). How do I settle it?,Top Match,(WA) I missed court and was issued a Warrant of Arrest (WA). How do I settle it?,Car Parks,No Feedback,11/18/2019 23:51,11/26/2019 17:25,8,Angeline Ng Li Ling,(Payment) When do I need to make payment for the notice of parking offence?
1270,Dear Ms JamiWith refer the captioned above1We would like to place a container office at our open car park It will include facilities of 12 Chairs 2 table airc,Catch all,,(UPL) How do I apply for the use of parking lots?,Car Parks,No Feedback,11/19/2019 11:03,11/26/2019 17:25,7,Angeline Ng Li Ling,General info on Development Control guidelines and handbooks
1271,what is the operating time for Car park division,General Information about URA,Top Match,General Information about URA,,No Feedback,11/19/2019 11:10,11/26/2019 17:25,7,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1272,Change of Bank account number for Giro monthly deduction for seasons parking thks,(SPT) How do I renew my Season Parking Ticket?,Top Match,(SPT) How do I renew my Season Parking Ticket?,Car Parks,No Feedback,11/19/2019 13:14,11/26/2019 17:25,7,Angeline Ng Li Ling,(SPT) Will I be informed if my Season Parking Ticket (SPT) renewal through GIRO deduction is unsuccessful?
1273,Everything was keyed in correctly,"(DPS) I paid for parking using the Parking.sg app with the wrong details (e.g. vehicle no., parking place). Will I be issued a fine?",Top Match,"(Common Offence) I started a session with the Parking.sg app, why am I fined?",Car Parks,No Feedback,11/19/2019 13:51,11/26/2019 17:24,7,Angeline Ng Li Ling,Catch all
1274,I got a parking fine even though I have paid for the parking on the app,"(DPS) I paid for parking using the Parking.sg app with the wrong details (e.g. vehicle no., parking place). Will I be issued a fine?",Top Match,"(Common Offence) I started a session with the Parking.sg app, why am I fined?",Car Parks,No Feedback,11/19/2019 13:50,11/26/2019 17:24,7,Angeline Ng Li Ling,Car Parks-Parking Offences
1275,how can i print out the season parking receipt,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,11/19/2019 14:30,11/26/2019 17:24,7,Angeline Ng Li Ling,Car Parks-Season Parking
1276,hi Good afternoon,General Information about URA,Top Match,General Information about URA,,No Feedback,11/19/2019 15:05,11/26/2019 17:24,7,Angeline Ng Li Ling,Catch all
1277,hello,General Information about URA,Top Match,General Information about URA,,No Feedback,11/19/2019 15:09,11/26/2019 17:24,7,Angeline Ng Li Ling,General Information about URA
1278,carpark rate for whole day parking,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,11/19/2019 15:12,11/26/2019 17:22,7,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1279,can i park overnight at GM004,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,11/19/2019 16:09,11/26/2019 17:22,7,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1280,what is the maximum carpark charges for the day,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,11/19/2019 16:15,11/26/2019 17:22,7,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1281,Season parking for vqn,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/19/2019 16:50,11/26/2019 17:22,7,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1282,Season parking for van,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/19/2019 16:50,11/26/2019 17:22,7,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1283,how to check season parking ticket applicant for vehicle XD4103E,Car Parks-Season Parking,Top Match,Car Parks-Season Parking,,No Feedback,11/19/2019 17:12,11/26/2019 17:22,7,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1284,my temporary pass to transfer existing season parking ticket to another vehicle has approved do I need to cancel the temporary pass once my existing vehicle is back,Car Parks-Season Parking,Top Match,(SPT) How do I revoke my temporary pass and how long does it take to be approved?,Car Parks,No Feedback,11/19/2019 17:18,11/26/2019 17:20,7,Angeline Ng Li Ling,Car Parks-Season Parking-Transfer
1285,do I need to cancel the temporary pass once my existing vehicle is back,(SPT) How do I revoke my temporary pass and how long does it take to be approved?,Top Match,(SPT) How do I revoke my temporary pass and how long does it take to be approved?,Car Parks,No Feedback,11/19/2019 17:19,11/26/2019 17:19,7,Angeline Ng Li Ling,Car Parks-Season Parking-Transfer
1286,do I need to revoke the temporary pass even though temporary parking is expiry,(SPT) How do I revoke my temporary pass and how long does it take to be approved?,Top Match,(SPT) How do I revoke my temporary pass and how long does it take to be approved?,Car Parks,No Feedback,11/19/2019 17:22,11/26/2019 17:19,7,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1287,Hi I just saw the notice of fine and its was expired Tired to pay but canot find the fine What should I do,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/19/2019 18:58,11/26/2019 16:50,7,Angeline Ng Li Ling,Car Parks-Parking Offences
1288,HI,General Information about URA,Top Match,General Information about URA,,No Feedback,11/20/2019 9:28,11/26/2019 16:45,6,Angeline Ng Li Ling,General Information about URA
1289,hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/20/2019 10:12,11/26/2019 16:45,6,Angeline Ng Li Ling,General Information about URA
1290,car park no,Car Parks Main,Top Match,Car Parks Main,,No Feedback,11/20/2019 11:54,11/26/2019 16:45,6,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1291,how to search car park no,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,11/20/2019 11:55,11/26/2019 16:45,6,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1292,car park no,Car Parks Main,Top Match,Car Parks Main,,No Feedback,11/20/2019 11:58,11/26/2019 16:45,6,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1293,how to use ura space to buy season parking,General Info on URA SPACE map service,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/20/2019 12:03,11/26/2019 16:44,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1294,buy season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/20/2019 12:03,11/26/2019 16:44,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1295,the map doesnt work for season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/20/2019 12:05,11/26/2019 16:43,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1296,receipt of VPC,Car Parks-VPC,Top Match,(VPC) How do I check if my Vehicle Parking Certificate is renewed sucessfully? Is there a receipt?,Car Parks,No Feedback,11/20/2019 12:15,11/26/2019 16:42,6,Angeline Ng Li Ling,Car Parks-VPC
1297,how do i renew vpc,How do I renew my Vehicle Parking Certificate (VPC) for my Heavy Vehicle?,Top Match,How do I renew my Vehicle Parking Certificate (VPC) for my Heavy Vehicle?,Car Parks,No Feedback,11/20/2019 14:03,11/26/2019 16:36,6,Angeline Ng Li Ling,Car Parks-VPC-Renew
1298,vpc receipt,Car Parks-VPC,Top Match,(VPC) How do I check if my Vehicle Parking Certificate is renewed sucessfully? Is there a receipt?,Car Parks,No Feedback,11/20/2019 12:15,11/26/2019 16:36,6,Angeline Ng Li Ling,Car Parks-VPC
1299,why vpc will failed,How do I renew my Vehicle Parking Certificate (VPC) for my Heavy Vehicle?,,Car Parks-VPC,,No Feedback,11/20/2019 12:18,11/26/2019 16:36,6,Angeline Ng Li Ling,Car Parks-VPC
1300,i want to check appeal status of my parking offence,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/20/2019 12:30,11/26/2019 16:35,6,Angeline Ng Li Ling,(Payment) When do I need to make payment for the notice of parking offence?
1301,season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/20/2019 15:06,11/26/2019 16:35,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1302,cannot apply,Car Parks-Season Parking-Apply,,Car Parks-Season Parking-Apply,,No Feedback,11/20/2019 15:14,11/26/2019 16:35,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1303,ura carpark application,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/20/2019 15:15,11/26/2019 16:35,6,Angeline Ng Li Ling,Car Parks-Use of Parking lot for non-parking purpose
1304,hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/20/2019 15:27,11/26/2019 16:35,6,Angeline Ng Li Ling,General Information about URA
1305,Hi i want to know how much is the season parking around telok ayer street but I am unable to see it and I do not understand based on the zones from your URA Map,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/20/2019 16:26,11/26/2019 16:35,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1306,how to find available season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/20/2019 16:28,11/26/2019 16:35,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1307,Hi i want to know how much is the season parking around telok ayer street but I am unable to see it and I do not understand based on the zones from your URA Map,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/20/2019 16:30,11/26/2019 16:35,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1308,How do I apply for season parking at my work place Am I able to apply season parking at 417 Eunos Road 5,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/20/2019 20:46,11/26/2019 16:34,6,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1309,Problematic traffic area,(PON) Is it an offence to park against the traffic flow?,Top Match,(ENF) How do I make a report when I see parking offences?,Car Parks,No Feedback,11/20/2019 23:23,11/26/2019 16:33,6,Angeline Ng Li Ling,Catch all
1310,Use car park as car showroom,(UPL) How do I apply for the use of parking lots?,Top Match,(UPL) How do I apply for the use of parking lots?,Car Parks,No Feedback,11/21/2019 4:50,11/26/2019 16:32,5,Angeline Ng Li Ling,General info on change of use
1311,Can I get a refund of unused URAHDB parking coupon at HDB head office at Toa Payoh central If not at which location near Toa Payoh Thank you,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Top Match,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Car Parks,No Feedback,11/21/2019 9:15,11/26/2019 16:32,5,Angeline Ng Li Ling,(PON) What should I do if I wish to return unused / wrongly torn coupons?
1312,How do I book roadside parking lots,Car Parks-Use of Parking lot for non-parking purpose,Top Match,Car Parks-Use of Parking lot for non-parking purpose,,No Feedback,11/21/2019 9:46,11/26/2019 16:32,5,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1313,Roadside parking,Catch all,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,11/21/2019 9:47,11/26/2019 16:31,5,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1314,Temporary parking,Can I use the Season Parking Ticket (SPT) for another vehicle temporarily? Clicked Temporary Transfer,,Can I use the Season Parking Ticket (SPT) for another vehicle temporarily? Clicked Temporary Transfer,,No Feedback,11/21/2019 9:47,11/26/2019 16:30,5,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1315,Temporary roadside parking,(STPC) Where can I find information on URA car park locations and parking charges?,,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,11/21/2019 9:48,11/26/2019 16:30,5,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1316,I have missed the payment due date by one day,"(Court) If I missed the payment due date on the Court Summons letter, can I still settle the summons without attending Court?",Top Match,"(Court) If I missed the payment due date on the Court Summons letter, can I still settle the summons without attending Court?",Car Parks,No Feedback,11/21/2019 11:00,11/26/2019 16:30,5,Angeline Ng Li Ling,Car Parks-Parking Offences
1317,how to apply giro for season parking,(SPT) How do I renew my Season Parking Ticket?,Top Match,(SPT) How do I renew my Season Parking Ticket?,Car Parks,No Feedback,11/21/2019 11:49,11/26/2019 16:30,5,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1318,HI,General Information about URA,Top Match,General Information about URA,,No Feedback,11/21/2019 12:06,11/26/2019 16:29,5,Angeline Ng Li Ling,General Information about URA
1319,i forget to pay my fine,(Payment) How do I make payment for my parking offence?,Top Match,(Payment) How do I make payment for my parking offence?,Car Parks,No Feedback,11/21/2019 12:52,11/26/2019 16:29,5,Angeline Ng Li Ling,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?
1320,how to apply new VPC,Car Parks-VPC,Top Match,Car Parks-VPC,,No Feedback,11/21/2019 13:12,11/26/2019 16:26,5,Angeline Ng Li Ling,Car Parks-VPC
1321,can old 50 cents parking coupons still be exchanged for new 60 cents ones,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Top Match,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Car Parks,No Feedback,11/21/2019 14:02,11/26/2019 16:26,5,Angeline Ng Li Ling,(PON) What should I do if I wish to return unused / wrongly torn coupons?
1322,can old 50 cents parking coupons be exchanged for new 60 cents ones thanks,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Top Match,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Car Parks,No Feedback,11/21/2019 14:03,11/26/2019 16:26,5,Angeline Ng Li Ling,(PON) What should I do if I wish to return unused / wrongly torn coupons?
1323,how can i purchase vpc online,Car Parks-Season Parking-Apply,Top Match,Car Parks-VPC,,No Feedback,11/21/2019 15:49,11/26/2019 16:25,5,Angeline Ng Li Ling,Car Parks-VPC
1324,May I have the link to apply for season parking Thanks,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/21/2019 16:46,11/26/2019 16:25,5,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1325,I cant proceed to apply for season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/21/2019 16:52,11/26/2019 16:25,5,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1326,my company at tiong bahru where can i buy the parking for my company lorry,Car Parks-Season Parking,Top Match,Car Parks-Season Parking,,No Feedback,11/21/2019 17:02,11/26/2019 16:25,5,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1327,how can I appeal for parking fine,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/21/2019 17:57,11/26/2019 16:25,5,Angeline Ng Li Ling,(Payment) When do I need to make payment for the notice of parking offence?
1328,hi my office at 275 changi road how to apply for parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/22/2019 9:57,11/26/2019 16:24,4,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1329,address of ura to appeal for lighter penalty,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/22/2019 10:19,11/26/2019 16:24,4,Angeline Ng Li Ling,Car Parks-Parking Offences
1330,telephone number of ura carpark offence matter,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,Catch all,,No Feedback,11/22/2019 10:45,11/26/2019 16:23,4,Angeline Ng Li Ling,General Information about URA
1331,I have used a used carpark coupon and was summoned Where to write to ask for fine penalty,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/22/2019 10:48,11/26/2019 16:22,4,Angeline Ng Li Ling,(PON) What should I do if I wish to return unused / wrongly torn coupons?
1332,Is there heavy vehicle parking lot at Yio Chu Kang,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/22/2019 12:54,11/26/2019 16:22,4,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1333,hi ther,General Information about URA,Top Match,General Information about URA,,No Feedback,11/22/2019 15:48,11/26/2019 16:22,4,Angeline Ng Li Ling,General Information about URA
1334,clearance,General information on building conservation,,Rephrase question,,No Feedback,11/22/2019 13:42,11/26/2019 16:22,4,Angeline Ng Li Ling,General information on building conservation
1335,clearance of ura fines,(Payment) How do I check my outstanding fines and if my fines are paid?,,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/22/2019 13:43,11/26/2019 16:21,4,Angeline Ng Li Ling,What do I need to do upon payment of all my outstanding Warrant of Arrest?
1336,enquire fines,(Payment) How do I check my outstanding fines and if my fines are paid?,,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/22/2019 14:38,11/26/2019 16:21,4,Angeline Ng Li Ling,Car Parks-Parking Offences
1337,I have apply car parking lot today,(UPL) How do I apply for the use of parking lots?,Top Match,Car Parks Main,,No Feedback,11/22/2019 15:40,11/26/2019 16:18,4,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1338,whole day and night parking,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,11/22/2019 15:51,11/26/2019 16:17,4,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1339,Check appeal status,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/22/2019 17:00,11/26/2019 16:16,4,Angeline Ng Li Ling,Catch all
1340,Can I buy season parking if the car is not under my name,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/22/2019 19:10,11/26/2019 16:16,4,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1341,I want to know the location for my offence,(WA) I want to know the details of my Warrant of Arrest (WA) and pay for it now.,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/22/2019 22:50,11/26/2019 16:15,4,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1342,When and where do I commit the offence,(FurnishDriver) How do I furnish the driver's particulars?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/22/2019 22:52,11/26/2019 16:15,4,Angeline Ng Li Ling,General info on reporting infringements
1343,Where and when do I commit the offence,(FurnishDriver) How do I furnish the driver's particulars?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/22/2019 22:58,11/26/2019 16:15,4,Angeline Ng Li Ling,(Payment) When do I need to make payment for the notice of parking offence?
1344,I have an outstanding fine with URACan I have the full details about the fine,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/22/2019 22:48,11/26/2019 16:14,4,Angeline Ng Li Ling,Car Parks-Parking Offences-Check outstanding
1345,I want to know the details of my Warrant of Arrest WA and pay for it now,(WA) I want to know the details of my Warrant of Arrest (WA) and pay for it now.,Top Match,(WA) I want to know the details of my Warrant of Arrest (WA) and pay for it now.,Car Parks,No Feedback,11/22/2019 23:07,11/26/2019 16:14,4,Angeline Ng Li Ling,Car Parks-Parking Offences-Warrants of Arrest
1346,I want to know when and where did I get this parking offence,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/22/2019 23:11,11/26/2019 16:13,4,Angeline Ng Li Ling,(Payment) When do I need to make payment for the notice of parking offence?
1347,Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/23/2019 8:35,11/26/2019 16:13,3,Angeline Ng Li Ling,General Information about URA
1348,How do I printout my VPC certificate,(VPC) How do I check if my Vehicle Parking Certificate is renewed sucessfully? Is there a receipt?,Top Match,(VPC) How do I check if my Vehicle Parking Certificate is renewed sucessfully? Is there a receipt?,Car Parks,No Feedback,11/23/2019 10:50,11/26/2019 16:13,3,Angeline Ng Li Ling,Car Parks-VPC
1349,Do i pay parking after 5pm,(Payment) How do I make payment for my parking offence?,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,11/23/2019 15:50,11/26/2019 16:12,3,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1350,hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/23/2019 22:37,11/26/2019 16:11,3,Angeline Ng Li Ling,General Information about URA
1351,How to applitation season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/24/2019 8:57,11/26/2019 16:07,2,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1352,how do i get excuse for a parking offence,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/24/2019 10:19,11/26/2019 16:07,2,Angeline Ng Li Ling,(Payment) When do I need to make payment for the notice of parking offence?
1353,But I am not using the app currently,"(DPS) I paid for parking using the Parking.sg app with the wrong details (e.g. vehicle no., parking place). Will I be issued a fine?",Top Match,Car Parks-Other car park matters-Parking.sg,,No Feedback,11/24/2019 10:40,11/26/2019 16:06,2,Angeline Ng Li Ling,
1354,I received a charge for my parking via Sms notification today,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,Car Parks-Other car park matters-Parking.sg,,No Feedback,11/24/2019 10:40,11/26/2019 16:06,2,Angeline Ng Li Ling,Why am I receiving a SMS notification a few days after my parking sessions?
1355,I received a parking charge but I am not using the app now,"(Common Offence) I started a session with the Parking.sg app, why am I fined?",Top Match,Car Parks-Other car park matters-Parking.sg,,Incorrect,11/24/2019 10:41,11/26/2019 16:06,2,Angeline Ng Li Ling,General info for feedback on e-Service errors
1356,for heavy vehicle carpark,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/25/2019 9:58,11/26/2019 16:03,1,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1357,online payment for heavy vehicle carpark,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/25/2019 9:58,11/26/2019 16:03,1,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1358,covered carpark,(STPC) Where can I find information on URA car park locations and parking charges?,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,11/25/2019 10:45,11/26/2019 15:53,1,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1359,Why i could not pay the fine at the AXS machine,(Payment) How do I check my outstanding fines and if my fines are paid?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,11/25/2019 10:39,11/26/2019 15:52,1,Angeline Ng Li Ling,Car Parks-Parking Offences
