question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
can I have contact details,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/12/2019 11:08,12/12/2019 15:13,<1,Oh Kie Hock,Who can I speak to at URA?
gfa,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/12/2019 11:05,12/12/2019 15:13,<1,Oh Kie Hock,Catch all
hi,General Information about URA,Top Match,Catch all,,No Feedback,12/12/2019 14:10,12/12/2019 15:12,<1,Oh Kie Hock,General Information about URA
hi,General Information about URA,Top Match,Catch all,,No Feedback,12/12/2019 14:10,12/12/2019 15:12,<1,Oh Kie Hock,General Information about URA
awning permission,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/12/2019 14:47,12/12/2019 15:12,<1,Oh Kie Hock,What is a Temporary Written Permission?
where can I download prev WP,How can I obtain the approved plan for my property?,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/12/2019 11:39,12/12/2019 15:12,<1,Oh Kie Hock,"General info on Additions and Alterations, and DC Forms"
LEONG NG CHUI LUANG contact number,General Information about URA,,Catch all,,No Feedback,12/12/2019 14:58,12/12/2019 15:11,<1,Oh Kie Hock,General Information about URA
NG CHUI LUANG,Catch all,,Catch all,,No Feedback,12/12/2019 14:58,12/12/2019 15:11,<1,Oh Kie Hock,General Information about URA
can I ask issue on planning requirement,Catch all,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/11/2019 7:52,12/12/2019 15:09,1,Oh Kie Hock,General info on change of use
is there a regulation that landlord can only charge a csfs scheme childcare at service charge,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,12/11/2019 11:25,12/12/2019 15:09,1,Oh Kie Hock,General Info on Home Business
Can smart Windows be installed at my condo,Can I install screening at my balcony?,Top Match,Can I install screening at my balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/11/2019 11:56,12/12/2019 15:08,1,Oh Kie Hock,Can I install screening at my balcony?
URA contact,General Information about URA,Top Match,General Information about URA,,No Feedback,12/11/2019 12:23,12/12/2019 15:08,1,Oh Kie Hock,Who can I speak to at URA?
Dleedon rental units,General info on renting private residential property,,Catch all,,No Feedback,12/11/2019 12:35,12/12/2019 15:07,1,Oh Kie Hock,Catch all
private condo,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/11/2019 12:36,12/12/2019 15:07,1,Oh Kie Hock,General info on renting private residential property
may i ask the contact or email for the building management office,General Information about URA,Top Match,Catch all,,No Feedback,12/11/2019 13:21,12/12/2019 15:07,1,Oh Kie Hock,General Information about URA
How do I report illegal subletting,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,12/11/2019 14:49,12/12/2019 15:06,1,Oh Kie Hock,General info on reporting infringements
how do i report illegal subletting,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,12/11/2019 15:02,12/12/2019 15:06,1,Oh Kie Hock,General info on reporting infringements
submitted within 3 years from the date of TOP,Catch all,Top Match,Catch all,,No Feedback,12/11/2019 15:39,12/12/2019 15:06,1,Oh Kie Hock,General information on building conservation
How to register the names of unrelated occupants in the house,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/11/2019 15:49,12/12/2019 15:06,1,Oh Kie Hock,General info on renting private residential property
I want to know yesterday why deduct 6 before expired date,Catch all,Top Match,Catch all,,No Feedback,12/11/2019 15:58,12/12/2019 15:05,1,Oh Kie Hock,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?
is realis working today,General info for feedback on e-Service errors,Top Match,Catch all,,No Feedback,12/11/2019 16:00,12/12/2019 15:05,1,Oh Kie Hock,Where can I find information on Singapore Property market?
Hi,General Information about URA,Top Match,Catch all,,No Feedback,12/11/2019 16:16,12/12/2019 15:05,1,Oh Kie Hock,General Information about URA
Where can I check our factory is categorized under what zoning,General info on change of use,Top Match,Catch all,,No Feedback,12/11/2019 16:45,12/12/2019 15:05,1,Oh Kie Hock,General info on change of use
I have a client,General Info on Home Business,,Catch all,,No Feedback,12/11/2019 17:00,12/12/2019 15:04,1,Oh Kie Hock,Catch all
this company has branches in overseasso at times they may send their overseas staff to singapore for training so can they stay in the house that is rented under the c,General info on renting private residential property,Top Match,Catch all,,No Feedback,12/11/2019 17:00,12/12/2019 15:03,1,Oh Kie Hock,General info on renting private residential property
if I stay in a landed property family of 7 can I sublet out one room,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/11/2019 17:05,12/12/2019 15:02,1,Oh Kie Hock,General info on renting private residential property
retractable awning,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/11/2019 17:42,12/12/2019 15:02,1,Oh Kie Hock,Can I enclose my balcony?
coh,Catch all,Top Match,General Info on Housing Developer,,No Feedback,12/11/2019 18:04,12/12/2019 15:02,1,Oh Kie Hock,General Info on Housing Developer
What is coh,Catch all,Top Match,General Info on Housing Developer,,No Feedback,12/11/2019 18:04,12/12/2019 15:02,1,Oh Kie Hock,General Info on Housing Developer
contact number regards to enquiry on submission to Planning Department,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/11/2019 18:22,12/12/2019 15:02,1,Oh Kie Hock,Who can I speak to at URA?
Hello I spoke with someone in your planning department They requested I contact them their name is Tan See Nin please have them contact me 15142651216,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/11/2019 23:00,12/12/2019 15:01,1,Oh Kie Hock,Who can I speak to at URA?
Central kitchen,Catch all,Top Match,Catch all,,No Feedback,12/11/2019 23:05,12/12/2019 15:01,1,Oh Kie Hock,Catch all
Hello,General Information about URA,Top Match,Catch all,,No Feedback,12/11/2019 23:16,12/12/2019 15:01,1,Oh Kie Hock,Rephrase question
Meadow lodge,General info on change of use,,Catch all,,No Feedback,12/11/2019 23:44,12/12/2019 15:00,1,Oh Kie Hock,Can I create internal partitions in a residential property?
Why is meadow lodge marked purple in latest ura plans,General Info on URA SPACE map service,,Catch all,,No Feedback,12/11/2019 23:44,12/12/2019 15:00,1,Oh Kie Hock,General Info on URA SPACE map service
epac,Catch all,Top Match,General info for feedback on e-Service errors,,No Feedback,12/11/2019 10:59,12/11/2019 11:23,<1,Oh Kie Hock,Catch all
morning,General Information about URA,Top Match,Catch all,,No Feedback,12/11/2019 7:50,12/11/2019 11:23,<1,Oh Kie Hock,General Information about URA
if wp is granted for change of use without an expiry date does this mean that the chneg of use is permanant,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,12/11/2019 10:27,12/11/2019 11:23,<1,Oh Kie Hock,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?
10 anson road,Catch all,,Catch all,,No Feedback,12/11/2019 10:18,12/11/2019 11:22,<1,Oh Kie Hock,Catch all
Airbnb,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/11/2019 10:33,12/11/2019 11:22,<1,Oh Kie Hock,General info on renting private residential property
How can I find out the built up size of a landed property,General info on buying and renovating private residential properties,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/11/2019 10:31,12/11/2019 11:22,<1,Oh Kie Hock,Are unit floor plans available in the Private Residential Property Transactions e-Service?
what is URA for,Who can I speak to at URA?,,General Information about URA,,No Feedback,12/11/2019 10:41,12/11/2019 11:22,<1,Oh Kie Hock,Who can I speak to at URA?
If I build a 10 units residential flats and not intended for sale do I still need a developers license,Catch all,,General Info on Housing Developer,,No Feedback,12/11/2019 10:56,12/11/2019 11:21,<1,Oh Kie Hock,General Info on Housing Developer
a training centre is allowed in which building,Catch all,Top Match,Catch all,,No Feedback,12/11/2019 11:02,12/11/2019 11:21,<1,Oh Kie Hock,Catch all
How to find districts area,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,12/10/2019 11:29,12/11/2019 11:21,1,Oh Kie Hock,General Info on URA SPACE map service
geographical sectors,General information on development charge rates,Top Match,Catch all,,No Feedback,12/10/2019 11:47,12/11/2019 11:20,1,Oh Kie Hock,Catch all
Master plan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,12/10/2019 12:02,12/11/2019 11:20,1,Oh Kie Hock,General Info on URA SPACE map service
sublet of condo,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/10/2019 14:22,12/11/2019 11:20,1,Oh Kie Hock,General info on renting private residential property
Do I need to do a change of trade,How do I submit a change of use application?,Top Match,Catch all,,No Feedback,12/10/2019 8:45,12/11/2019 11:13,1,Oh Kie Hock,Catch all
landed property master plan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,12/10/2019 9:19,12/11/2019 11:13,1,Oh Kie Hock,General Info on URA SPACE map service
apply for renewal,General info on change of use,Top Match,How do I submit a renewal application for change of use?,Development Control > Change of Use,No Feedback,12/10/2019 9:49,12/11/2019 11:13,1,Oh Kie Hock,General info on change of use
who to apply for renewal,General info on change of use,Top Match,How do I submit a renewal application for change of use?,Development Control > Change of Use,No Feedback,12/10/2019 9:49,12/11/2019 11:13,1,Oh Kie Hock,General info on change of use
May I check for new tenant who took over from the previous tenant is required to submit or to apply for fire safety cert and get his sub mission endorsed for restaurant,General info on change of use,Top Match,General info on change of use,,No Feedback,12/10/2019 10:16,12/11/2019 11:12,1,Oh Kie Hock,General info on change of use
Change of use submission,How do I submit a change of use lodgment?,Top Match,General info on change of use,,No Feedback,12/10/2019 10:17,12/11/2019 11:12,1,Oh Kie Hock,General info on change of use
Change of use,General info on change of use,Top Match,General info on change of use,,No Feedback,12/10/2019 10:27,12/11/2019 11:12,1,Oh Kie Hock,Catch all
planning record history,How can I obtain the approved plan for my property?,Top Match,Catch all,,No Feedback,12/10/2019 12:18,12/11/2019 11:12,1,Oh Kie Hock,General information on building conservation
Where can I see Draft master plan,General information on planning process,Top Match,Catch all,,No Feedback,12/10/2019 12:03,12/11/2019 11:11,1,Oh Kie Hock,General information on planning process
who do i contact for enquires,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/10/2019 12:45,12/11/2019 11:11,1,Oh Kie Hock,Who can I speak to at URA?
is installation of shelter between 2 walls incur any gross floor area,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/10/2019 12:51,12/11/2019 11:11,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
GFA,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/10/2019 13:39,12/11/2019 11:11,1,Oh Kie Hock,Catch all
i would like to take an appointment with your high official regarding city planning issues of singapore,Catch all,,Catch all,,No Feedback,12/10/2019 13:08,12/11/2019 11:09,1,Oh Kie Hock,General Information about URA
i am from Urban Development directorate of Government of Bangladesh,Catch all,,Catch all,,No Feedback,12/10/2019 13:06,12/11/2019 11:09,1,Oh Kie Hock,Catch all
Can I know what the amount I need to pay,General info on change of use,Top Match,What are the processing fees for development applications?,Development Control > General Information on Development Control,No Feedback,12/10/2019 13:29,12/11/2019 11:09,1,Oh Kie Hock,What are the processing fees for development applications?
PES,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/10/2019 13:39,12/11/2019 11:08,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
renew temporary permission,What is a Temporary Written Permission?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,12/10/2019 14:17,12/11/2019 11:08,1,Oh Kie Hock,What is a Temporary Written Permission?
how to apply,Catch all,Top Match,Catch all,,No Feedback,12/10/2019 14:17,12/11/2019 11:08,1,Oh Kie Hock,Car Parks-Season Parking-Apply
renew temporary permission,What is a Temporary Written Permission?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,12/10/2019 14:18,12/11/2019 11:08,1,Oh Kie Hock,What is a Temporary Written Permission?
how to apply for renew temporary permission,What is a Temporary Written Permission?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,12/10/2019 14:18,12/11/2019 11:08,1,Oh Kie Hock,What is a Temporary Written Permission?
apply change of use,General info on change of use,Top Match,How do I submit a change of use application?,Development Control > Change of Use,No Feedback,12/10/2019 14:26,12/11/2019 11:08,1,Oh Kie Hock,General info on change of use
work permit,Catch all,Top Match,Catch all,,No Feedback,12/10/2019 14:23,12/11/2019 11:08,1,Oh Kie Hock,General info on renting private residential property
sublet,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/10/2019 14:24,12/11/2019 11:08,1,Oh Kie Hock,General info on renting private residential property
private residential premises for foreign workers,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/10/2019 14:33,12/11/2019 11:08,1,Oh Kie Hock,General info on renting private residential property
check the use,General info on change of use,Top Match,How can I check the approved use of a premises?,Development Control > Change of Use,No Feedback,12/10/2019 14:36,12/11/2019 11:08,1,Oh Kie Hock,General info on change of use
TRY TO CALL THIS NUMBER MANY TIME 63293237 BUT NOT ANSWER CALL,General Information about URA,Top Match,Catch all,,No Feedback,12/10/2019 15:20,12/11/2019 10:59,1,Oh Kie Hock,General Information about URA
What is envelope control site,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/10/2019 15:23,12/11/2019 10:59,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
extension of outline,How do I apply for planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/10/2019 15:49,12/11/2019 10:59,1,Oh Kie Hock,What is a Temporary Written Permission?
epacs register as new user,Where can I find the latest URA circulars?,Top Match,General info for feedback on e-Service errors,,No Feedback,12/10/2019 15:56,12/11/2019 10:59,1,Oh Kie Hock,General info for feedback on e-Service errors
rental house,General info on renting private residential property,,Catch all,,No Feedback,12/10/2019 16:55,12/11/2019 10:58,1,Oh Kie Hock,General info on renting private residential property
how do i apply for change of use,Do I have to submit for change of use approval if there is a change in tenant or owner of the property?,Top Match,How do I submit a change of use application?,Development Control > Change of Use,No Feedback,12/10/2019 16:57,12/11/2019 10:58,1,Oh Kie Hock,General info on change of use
apply for change of use,General info on change of use,Top Match,How do I submit a change of use application?,Development Control > Change of Use,No Feedback,12/10/2019 16:57,12/11/2019 10:58,1,Oh Kie Hock,General info on change of use
what is envelope control in secondary settlement,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/10/2019 16:53,12/11/2019 10:57,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
How do I check building height,General info on buying and renovating private residential properties,Top Match,General Info on URA SPACE map service,,No Feedback,12/10/2019 16:27,12/11/2019 10:57,1,Oh Kie Hock,General Info on URA SPACE map service
installation guide,Where are the Development Control (DC) forms?,,Catch all,,No Feedback,12/10/2019 17:03,12/11/2019 10:57,1,Oh Kie Hock,Can I enclose my balcony?
Addition and alternation,General information on building conservation,Top Match,Catch all,,No Feedback,12/10/2019 17:35,12/11/2019 10:57,1,Oh Kie Hock,Catch all
Do I need to inform BCA,Do I need to inform URA if I do not use my home as a Home Office?,Top Match,Catch all,,No Feedback,12/10/2019 17:12,12/11/2019 10:57,1,Oh Kie Hock,Catch all
Do I need to inform URA for renovating the interior of my condo unit,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?",Top Match,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?","Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/10/2019 17:10,12/11/2019 10:35,1,Oh Kie Hock,General info on buying and renovating private residential properties
Do I need to inform Building and Construction Authority to tear down the load bearing wall of my condo room,Catch all,Top Match,General info on buying and renovating private residential properties,,No Feedback,12/10/2019 17:15,12/11/2019 10:35,1,Oh Kie Hock,General info on buying and renovating private residential properties
I want to tear down the load bearing wall of my condo room,General info on renting private residential property,Top Match,General info on buying and renovating private residential properties,,No Feedback,12/10/2019 17:13,12/11/2019 10:34,1,Oh Kie Hock,General info on buying and renovating private residential properties
Hi is there a occupancy cap for Condo,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/10/2019 19:02,12/11/2019 10:34,1,Oh Kie Hock,General info on renting private residential property
how about staying with my families,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/10/2019 19:04,12/11/2019 10:34,1,Oh Kie Hock,General info on renting private residential property
own stay in condo,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/10/2019 19:05,12/11/2019 10:34,1,Oh Kie Hock,General info on renting private residential property
how many families members could stay in a condo,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/10/2019 19:06,12/11/2019 10:34,1,Oh Kie Hock,General info on renting private residential property
sublet,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/10/2019 20:48,12/11/2019 10:34,1,Oh Kie Hock,General info on renting private residential property
Airbnb,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/11/2019 8:31,12/11/2019 10:33,<1,Oh Kie Hock,General info on renting private residential property
Where is legend for the master plan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,12/11/2019 9:16,12/11/2019 10:29,<1,Oh Kie Hock,General Info on URA SPACE map service
maximum number of occupiers,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/11/2019 9:54,12/11/2019 10:29,<1,Oh Kie Hock,General info on renting private residential property
Hi Jamie how do I report illegal erection of structures and illegal subletting for private residential to ura,General info on renting private residential property,Top Match,General info on reporting infringements,,No Feedback,12/11/2019 9:59,12/11/2019 10:29,<1,Oh Kie Hock,General info on reporting infringements
Hi I going to rent a retail shop at thomson plaza currently is a retail shop selling cloths and I wanted to set up as kids entertainment toys catcher claw machine,General info on change of use,Top Match,General info on change of use,,No Feedback,12/10/2019 8:45,12/10/2019 10:44,<1,Oh Kie Hock,General info on change of use
Ura email,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/10/2019 9:22,12/10/2019 10:43,<1,Oh Kie Hock,Who can I speak to at URA?
development control,Why is there a need to control developments?,Top Match,Why is there a need to control developments?,Development Control > General Information on Development Control,No Feedback,12/10/2019 9:47,12/10/2019 10:43,<1,Oh Kie Hock,Why is there a need to control developments?
Hotel development charge rate,General information on development charge rates,Top Match,General information on development charge rates,,No Feedback,12/10/2019 10:20,12/10/2019 10:43,<1,Oh Kie Hock,General information on development charge rates
whr to get the cycling map,General Info on URA SPACE map service,,Catch all,,No Feedback,12/8/2019 16:58,12/10/2019 10:42,2,Oh Kie Hock,General Info on URA SPACE map service
what is the cycling map of Singapore,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,12/8/2019 16:58,12/10/2019 10:42,2,Oh Kie Hock,General Info on URA SPACE map service
WHATS YOUR EMAIL ADDRESS,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/7/2019 17:09,12/10/2019 10:41,3,Oh Kie Hock,Who can I speak to at URA?
How do I seek approval,How can I check the approved use of a premises?,Top Match,Catch all,,No Feedback,12/7/2019 19:01,12/10/2019 10:41,3,Oh Kie Hock,General info on change of use
is On lo t04378W MK06 at 1 Soon Lee Street Jurong West Planning,General Info on URA SPACE map service,,Catch all,,No Feedback,12/7/2019 10:13,12/10/2019 10:41,3,Oh Kie Hock,General Info on URA SPACE map service
Residential or mixed development,General info on Development Control guidelines and handbooks,,General info on Development Control guidelines and handbooks,,No Feedback,12/7/2019 15:59,12/10/2019 10:41,3,Oh Kie Hock,General info on Development Control guidelines and handbooks
officer in charge of planning zone,General Information about URA,Top Match,General Info on URA SPACE map service,,No Feedback,12/7/2019 16:23,12/10/2019 10:40,3,Oh Kie Hock,General Info on URA SPACE map service
My balcony is covered by trellis Can I install a polycarbonate cover,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/7/2019 18:58,12/10/2019 10:40,3,Oh Kie Hock,Can I install screening at my balcony?
How do I seek planning permission for balcony cover,What are the development works that are exempted from planning permission?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/7/2019 19:02,12/10/2019 10:40,3,Oh Kie Hock,General info on change of use
I would like to find out about siglap road plan,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,12/8/2019 10:50,12/10/2019 10:40,2,Oh Kie Hock,General Info on URA SPACE map service
yes this links is not working,General info for feedback on e-Service errors,Top Match,Catch all,,No Feedback,12/8/2019 22:51,12/10/2019 10:39,2,Oh Kie Hock,General info for feedback on e-Service errors
can i add a ramp to my conserved bangalow,What are the development works that are exempted from planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/8/2019 21:12,12/10/2019 10:39,2,Oh Kie Hock,General information on building conservation
envelope control plans,General information on planning process,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/8/2019 21:30,12/10/2019 10:37,2,Oh Kie Hock,General info on Development Control guidelines and handbooks
general control plans,General information on planning process,Top Match,Catch all,,No Feedback,12/8/2019 21:29,12/10/2019 10:37,2,Oh Kie Hock,Catch all
general control plans,General information on planning process,Top Match,Catch all,,No Feedback,12/8/2019 21:30,12/10/2019 10:37,2,Oh Kie Hock,Catch all
Where can I find tenancy agreement template,Catch all,Top Match,Catch all,,No Feedback,12/8/2019 23:02,12/10/2019 10:35,2,Oh Kie Hock,General info on renting private residential property
tenancy agreement template,Catch all,Top Match,Catch all,,No Feedback,12/8/2019 23:02,12/10/2019 10:35,2,Oh Kie Hock,General info on renting private residential property
tenancy agreement,Catch all,Top Match,Catch all,,No Feedback,12/8/2019 23:02,12/10/2019 10:35,2,Oh Kie Hock,General info on renting private residential property
is there any number i can call,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/9/2019 9:19,12/10/2019 10:34,1,Oh Kie Hock,Who can I speak to at URA?
HOW TO GET A COPY OF GRANT OF WRIITE PERMISSION,General info on change of use,Top Match,How can I obtain the approved plan for my property?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,12/9/2019 12:31,12/10/2019 10:33,1,Oh Kie Hock,General info on change of use
Email address,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/9/2019 12:10,12/10/2019 10:33,1,Oh Kie Hock,Who can I speak to at URA?
what is the email to send in documents to URA,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/9/2019 10:12,12/10/2019 10:33,1,Oh Kie Hock,Who can I speak to at URA?
may i know which number to call to feeback on illegal subletting,General Information about URA,Top Match,General info on reporting infringements,,No Feedback,12/9/2019 12:20,12/10/2019 10:30,1,Oh Kie Hock,General info on reporting infringements
HOW TO REPORT URA ABOUT PROPERTY MISUSED,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,12/9/2019 13:06,12/10/2019 10:29,1,Oh Kie Hock,General info on reporting infringements
how to find out if I can enclose my balcony area,Can I enclose my balcony?,Top Match,Can I enclose my balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,12/9/2019 13:20,12/10/2019 10:29,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
Is Geylang in new master plan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,12/9/2019 13:36,12/10/2019 10:29,1,Oh Kie Hock,General Info on URA SPACE map service
How do I see how many stories the land usage is,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,12/9/2019 15:30,12/10/2019 10:29,1,Oh Kie Hock,General Info on URA SPACE map service
Please advise this website httpswwwuragovsgrealEstateIIWebresiRentalsubmitSearchaction is not working at all and I do use it frequently Kindly fix it Thank y,General info for feedback on e-Service errors,,Catch all,,No Feedback,12/9/2019 18:13,12/10/2019 10:28,1,Oh Kie Hock,General info for feedback on e-Service errors
maid agency can operate in home,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,12/9/2019 20:47,12/10/2019 10:28,1,Oh Kie Hock,General Info on Home Business
subdivision,Catch all,Top Match,Catch all,,No Feedback,12/5/2019 16:28,12/10/2019 10:27,5,Oh Kie Hock,General info on Development Control guidelines and handbooks
do I need URA permission to subdivide my lot,What are the development works that are exempted from planning permission?,Top Match,Catch all,,No Feedback,12/5/2019 16:29,12/10/2019 10:27,5,Oh Kie Hock,Catch all
For processing fees that less than 5000 can the payments be made via or internet banking,What are the processing fees for development applications?,,What are the processing fees for development applications?,Development Control > General Information on Development Control,No Feedback,12/5/2019 15:57,12/10/2019 10:27,5,Oh Kie Hock,What are the processing fees for development applications?
i like to trace a press release from back in 2012,Catch all,,Catch all,,No Feedback,12/5/2019 17:01,12/10/2019 10:27,5,Oh Kie Hock,General Information about URA
fee for the renewal of temporary permission,What is a Temporary Written Permission?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,12/5/2019 17:21,12/10/2019 10:27,5,Oh Kie Hock,What is a Temporary Written Permission?
what is the fee for Temporary permission,What are the processing fees for development applications?,Top Match,What are the processing fees for development applications?,Development Control > General Information on Development Control,No Feedback,12/5/2019 17:21,12/10/2019 10:27,5,Oh Kie Hock,What is a Temporary Written Permission?
how to apply for using my home address for business,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,12/5/2019 17:46,12/10/2019 10:27,5,Oh Kie Hock,General Info on Home Business
What is the distribution of land uses in Singapore,General information on planning process,Top Match,General information on planning process,,No Feedback,12/5/2019 18:56,12/10/2019 10:26,5,Oh Kie Hock,What is the distribution of land uses in Singapore?
tennis court fencing height,General info on Development Control guidelines and handbooks,,Catch all,,No Feedback,12/5/2019 18:16,12/10/2019 10:26,5,Oh Kie Hock,General info on buying and renovating private residential properties
Guard house,Catch all,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/6/2019 9:26,12/10/2019 10:25,4,Oh Kie Hock,Catch all
GFA,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/6/2019 9:27,12/10/2019 10:25,4,Oh Kie Hock,Catch all
i could not login to the eSurvey webpage,General info for feedback on e-Service errors,Top Match,General info for feedback on e-Service errors,,No Feedback,12/6/2019 11:05,12/10/2019 10:24,4,Oh Kie Hock,General info for feedback on e-Service errors
can owner deck up planter box in residential unit,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/6/2019 11:11,12/10/2019 10:24,4,Oh Kie Hock,General info on Development Control guidelines and handbooks
decking up planter box,What does Gross Floor Area (GFA) mean?,,General info on Development Control guidelines and handbooks,,No Feedback,12/6/2019 11:05,12/10/2019 10:24,4,Oh Kie Hock,General info on Development Control guidelines and handbooks
planter box useage,General info on Development Control guidelines and handbooks,,General info on Development Control guidelines and handbooks,,No Feedback,12/6/2019 11:09,12/10/2019 10:24,4,Oh Kie Hock,General info on Development Control guidelines and handbooks
i would like to check on change of use,General info on change of use,Top Match,General info on change of use,,No Feedback,12/6/2019 11:34,12/10/2019 10:18,4,Oh Kie Hock,General info on change of use
